E3,SUB,source,key,SUB_random,E3_random
Q969H0,Q07820,24658274,Q969H0_Q07820,Q15796,P46527
Q969H0,Q16656,24658274,Q969H0_Q16656,Q8WUJ0,Q5SWA1
Q969H0,Q16665,24658274,Q969H0_Q16665,P29992,O94925
Q969H0,Q00653,24658274,Q969H0_Q00653,P04818,Q05655
Q969H0,P35659,24658274,Q969H0_P35659,Q9BRS2,Q06455
Q969H0,Q49AN0,25855785,Q969H0_Q49AN0,P68400,Q96KG9
Q969H0,P04637,25860929,Q969H0_P04637,Q93034,Q5JTC6
Q969H0,Q16204,25885523,Q969H0_Q16204,O95067,P31431
Q969H0,P48436,27566146,Q969H0_P48436,P08922,Q8NHW6
Q969H0,Q9NRI5,28727686,Q969H0_Q9NRI5,P08134,O95376
Q969H0,Q15233,29150959,Q969H0_Q15233,Q9UM73,O00571
Q969H0,Q13118,29198712,Q969H0_Q13118,Q9UK97,Q9BPW5
Q969H0,P02765,29475832,Q969H0_P02765,O15409,P02786
Q969H0,O95863,30094882,Q969H0_O95863,P0DPK3,O43524
Q969H0,Q00613,30284149,Q969H0_Q00613,Q13485,O00629
Q969H0,Q13950,30610124,Q969H0_Q13950,Q9UKA1,P10145
Q969H0,P17861,30783083,Q969H0_P17861,Q01543,Q9BS26
Q969H0,O60315,30783098,Q969H0_O60315,Q96ME1,P22033
Q969H0,Q9UQ13,30865892,Q969H0_Q9UQ13,Q15528,Q9H2G2
Q969H0,P52630,31843895,Q969H0_P52630,Q96G25,P15509
Q969H0,Q9H0K1,32437091,Q969H0_Q9H0K1,O14818,O95644
Q969H0,P17947,33188146,Q969H0_P17947,Q99873,P42568
Q969H0,Q06124,34046815,Q969H0_Q06124,O14980,Q9GZS3
Q969H0,Q8WUI4,34288252,Q969H0_Q8WUI4,O00548,O95433
O60260,O60260,11111111,O60260_O60260,Q5S007,Q9BT88
O60260,Q9Y6H5,11111111,O60260_Q9Y6H5,P68366,Q9C002
O60260,Q99719,11111111,O60260_Q99719,P31689,P84074
O60260,Q13155,11111111,O60260_Q13155,Q9NRX3,Q9P2J5
O60260,P37840,11431533,O60260_P37840,Q13224,P00915
O60260,O15354,12150907,O60260_O15354,Q14790,P11142
O60260,P24864,12628165,O60260_P24864,P08238,Q16254
O60260,O96020,12628165,O60260_O96020,O00487,Q9UJX6
O60260,P07437,12716939,O60260_P07437,Q9UBK2,P26641
O60260,Q9BT88,12925569,O60260_Q9BT88,Q2T9J0,P37840
O60260,Q15303,15632191,O60260_Q15303,Q01453,P35916
O60260,P21860,15632191,O60260_P21860,Q9H832,Q63HR2
O60260,P08247,16135753,O60260_P08247,P14618,Q12959
O60260,Q96AE4,16672220,O60260_Q96AE4,Q9ULB1,P00533
O60260,P42566,16862145,O60260_P42566,Q96C03,Q12933
O60260,Q14190,17360614,O60260_Q14190,P02786,Q96E52
O60260,P53667,17512523,O60260_P53667,Q14139,Q13224
O60260,Q9NRD5,17553932,O60260_Q9NRD5,P63165,P61204
O60260,P68363,18195004,O60260_P68363,Q9UQ16,Q6R327
O60260,O60883,18241051,O60260_O60883,Q9UQM7,Q13308
O60260,P19174,18671761,O60260_P19174,P62195,Q3LI72
O60260,P55036,19240029,O60260_P55036,P35998,P62424
O60260,Q9Y6K9,19880420,O60260_Q9Y6K9,Q99683,Q13107
O60260,Q99962,20064468,O60260_Q99962,Q9Y6H1,Q9BZQ4
O60260,Q99963,20064468,O60260_Q99963,Q13114,P32019
O60260,O95140,20871098,O60260_O95140,O15075,O15013
O60260,Q8IWA4,20871098,O60260_Q8IWA4,Q9UH90,Q16740
O60260,P10415,20889974,O60260_P10415,P78352,P29590
O60260,O00429,21292769,O60260_O00429,Q9Y3I1,P63098
O60260,Q6NUN9,21376232,O60260_Q6NUN9,Q8IVP5,Q00059
O60260,Q8IXI1,22078885,O60260_Q8IXI1,P51589,Q9NX95
O60260,P54252,22199232,O60260_P54252,Q9NXA8,Q13438
O60260,Q70CQ3,22199232,O60260_Q70CQ3,O14733,Q3LFD5
O60260,Q16342,22199232,O60260_Q16342,O95847,O75340
O60260,Q9UNE7,22199232,O60260_Q9UNE7,Q12959,Q92574
O60260,Q15388,22199232,O60260_Q15388,P55072,O43674
O60260,Q07812,22460798,O60260_Q07812,Q712K3,Q96LC9
O60260,Q9BXM7,22724072,O60260_Q9BXM7,Q14457,Q7Z434
O60260,O43236,22792159,O60260_O43236,Q9NZ94,Q86W50
O60260,P19367,23068103,O60260_P19367,Q9BXK5,Q99798
O60260,Q13148,23258539,O60260_Q13148,P56962,Q9Y4K3
O60260,Q9UNN5,23307929,O60260_Q9UNN5,P30405,Q8IWV8
O60260,Q9NX09,25101677,O60260_Q9NX09,Q9BXW9,Q9H3D4
O60260,P54829,25583483,O60260_P54829,Q9NP61,O15442
O60260,P46527,25591737,O60260_P46527,P13073,Q53EL6
O60260,Q8IXI2,26254304,O60260_Q8IXI2,Q8N961,Q9H8P0
O60260,P14635,26387737,O60260_P14635,Q96LR5,Q8NG31
O60260,P51955,26387737,O60260_P51955,P62070,P20231
O60260,O95147,26387737,O60260_O95147,Q16763,P45984
O60260,Q13501,26746706,O60260_Q13501,Q14168,O75030
O60260,Q16665,29180628,O60260_Q16665,P61020,P19438
O60260,Q96QK1,29893854,O60260_Q96QK1,Q96TA2,Q8NH89
O60260,Q9NZ45,31110043,O60260_Q9NZ45,P05161,O76071
O60260,Q9Y4K3,31558697,O60260_Q9Y4K3,Q9Y572,Q96PD2
O60260,Q92844,31558697,O60260_Q92844,Q9Y385,P0CG47
O60260,P46937,32863938,O60260_P46937,Q8IUQ4,Q9BQW3
O60260,Q07817,33431795,O60260_Q07817,Q9H0F6,Q13075
O60260,Q96P20,33527027,O60260_Q96P20,Q9Y6N8,O00429
Q96PU5,Q9NY46,11111111,Q96PU5_Q9NY46,Q5VYK3,Q8WWT9
Q96PU5,Q9Y5Y9,11111111,Q96PU5_Q9Y5Y9,P61218,P52742
Q96PU5,P51795,11111111,Q96PU5_P51795,P26196,Q9UBN4
Q96PU5,Q99250,11111111,Q96PU5_Q99250,Q9UHW5,O15130
Q96PU5,Q15858,11111111,Q96PU5_Q15858,P53365,Q6ZSZ5
